Season,Team,Returning_Minutes_Top8_Pct,Star_Weighted_Continuity,New_Players_Top8,Returning_Minutes_FullRoster_Pct,Total_Prev_Minutes_Top8,Total_Prev_Minutes_FullRoster
2020-21,New York Knicks,68.75,69.45,14,36.31,179.5,590.0
2020-21,Oklahoma City Thunder,23.88,23.6,20,19.62,196.4,567.7
2020-21,Orlando Magic,86.47,86.29,21,43.36,212.8,607.9
2020-21,Philadelphia 76ers,65.58,66.77,18,29.91,208.6,597.1
2020-21,Phoenix Suns,62.0,61.68,12,33.34,230.8,606.5
2020-21,Portland Trail Blazers,59.01,59.63,13,33.51,215.9,663.4
2020-21,Sacramento Kings,86.82,86.65,17,36.17,220.1,656.0
2020-21,San Antonio Spurs,100.0,100.0,10,47.29,199.7,569.0
2020-21,Toronto Raptors,79.84,80.37,16,42.36,223.7,579.3
2020-21,Utah Jazz,94.94,95.13,11,43.46,225.4,589.0
2020-21,Washington Wizards,76.41,76.74,15,37.89,193.7,693.3
2021-22,Atlanta Hawks,100.0,100.0,16,48.45,215.3,615.9
2021-22,Boston Celtics,63.27,63.98,23,37.26,231.7,649.5
2021-22,Brooklyn Nets,78.68,79.75,18,29.78,228.0,752.2
2021-22,Charlotte Hornets,74.07,73.83,14,34.98,212.1,578.1
2021-22,Chicago Bulls,34.14,35.52,20,24.39,198.3,645.7
2021-22,Cleveland Cavaliers,46.84,46.82,23,31.33,193.2,733.4
2021-22,Dallas Mavericks,85.89,86.63,20,41.98,214.7,584.8
2021-22,Denver Nuggets,68.87,69.66,17,40.9,210.1,647.9
2021-22,Detroit Pistons,34.2,33.92,24,34.25,197.1,691.7
2021-22,Golden State Warriors,89.05,89.67,10,30.93,181.7,585.9
2021-22,Houston Rockets,25.06,24.67,17,26.59,245.4,909.5
2021-22,Indiana Pacers,84.82,85.25,21,39.88,219.3,648.0
2021-22,Los Angeles Clippers,65.11,64.47,18,36.41,199.2,616.9
2021-22,Los Angeles Lakers,30.66,32.67,23,14.26,214.3,601.8
2021-22,Memphis Grizzlies,62.51,62.66,18,40.05,187.8,596.7
2021-22,Miami Heat,60.51,61.87,17,33.06,213.7,660.6
2021-22,Milwaukee Bucks,94.62,95.1,23,33.16,208.2,650.8
2021-22,Minnesota Timberwolves,79.38,79.72,12,45.13,189.6,573.7
2021-22,New Orleans Pelicans,44.24,43.41,18,27.13,219.5,649.8
2021-22,New York Knicks,85.84,86.19,16,40.74,211.9,586.2
2021-22,Oklahoma City Thunder,53.54,53.37,22,37.55,168.3,723.1
2021-22,Orlando Magic,22.07,21.71,20,30.56,191.7,869.0
2021-22,Philadelphia 76ers,77.33,77.11,17,35.0,206.4,612.0
2021-22,Phoenix Suns,100.0,100.0,15,45.12,213.3,560.1
2021-22,Portland Trail Blazers,73.19,74.52,22,34.3,218.6,587.1
2021-22,Sacramento Kings,88.82,88.5,19,43.76,230.8,675.9
