ENTRY,Season,Player,Age,Team(s),LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
149,2014-15,Avery Bradley,24,BOS,2.15,-0.96,-1.09,0.14
150,2014-15,Trevor Booker,27,UTA,2.29,-0.12,-0.15,0.03
151,2014-15,Quincy Pondexter,26,MEM/NOP,0.52,-1.82,-0.99,-0.83
152,2014-15,Greivis Vasquez,28,TOR,1.57,-1.1,0.39,-1.49
153,2014-15,Hassan Whiteside,25,MIA,4.45,3.49,0.65,2.83
154,2014-15,Lance Stephenson,24,CHO,0.17,-2.1,-2.06,-0.04
155,2014-15,Donald Sloan,27,IND,0.83,-1.16,-0.18,-0.98
156,2014-15,Timofey Mozgov,28,DEN/CLE,5.28,1.52,-0.44,1.96
157,2014-15,Gary Neal,30,CHO/MIN,0.36,-1.81,-0.45,-1.36
158,2014-15,Jeremy Lin,26,LAL,2.66,-0.21,0.3,-0.51
159,2014-15,Ish Smith,26,OKC/PHI,0.69,-1.03,-0.35,-0.67
160,2014-15,Elijah Millsap,27,UTA,0.36,-1.68,-1.88,0.2
161,2014-15,Lance Thomas,26,OKC/NYK,-2.08,-4.39,-2.93,-1.46
162,2014-15,Kyrie Irving,22,CLE,7.83,1.94,3.22,-1.28
163,2014-15,Derrick Williams,23,SAC,-0.72,-2.99,-0.71,-2.28
164,2014-15,Enes Freedom,22,UTA/OKC,2.05,-0.85,0.12,-0.97
165,2014-15,Tristan Thompson,23,CLE,4.08,0.46,0.76,-0.29
166,2014-15,Jonas Valančiūnas,22,TOR,2.98,-0.17,-0.72,0.55
167,2014-15,Bismack Biyombo,22,CHO,2.75,0.97,-1.25,2.22
168,2014-15,Brandon Knight,23,MIL/PHO,2.7,-0.32,0.35,-0.66
169,2014-15,Kemba Walker,24,CHO,6.16,2,1.86,0.13
170,2014-15,Jimmer Fredette,25,NOP,0.32,-1.33,0.17,-1.5
171,2014-15,Klay Thompson,24,GSW,8.07,2.56,2.73,-0.16
172,2014-15,Alec Burks,23,UTA,0.52,-1.4,-0.9,-0.5
173,2014-15,Markieff Morris,25,PHO,4.51,0.3,-0.53,0.83
174,2014-15,Marcus Morris Sr.,25,PHO,2.15,-0.72,-0.17,-0.54
175,2014-15,Kawhi Leonard,23,SAS,9.84,4.97,2.44,2.53
176,2014-15,Nikola Vučević,24,ORL,3.49,-0.24,-0.2,-0.03
177,2014-15,Iman Shumpert,24,NYK/CLE,1.07,-1.24,-0.8,-0.44
178,2014-15,Tobias Harris,22,ORL,2.13,-0.94,-0.13,-0.81
179,2014-15,Donatas Motiejunas,24,HOU,2.42,-0.52,-0.84,0.33
180,2014-15,Kenneth Faried,25,DEN,4.9,1.17,0.9,0.27
181,2014-15,Nikola Mirotic,23,CHI,4.23,1.48,0.8,0.68
182,2014-15,Reggie Jackson,24,OKC/DET,5.11,1.04,2.74,-1.71
183,2014-15,Norris Cole,26,MIA/NOP,-1.31,-3.33,-1.79,-1.54
184,2014-15,Cory Joseph,23,SAS,3.85,1.65,0.69,0.96
185,2014-15,Jimmy Butler,25,CHI,8.54,2.73,2.23,0.5
186,2014-15,Bojan Bogdanović,25,BRK,-0.87,-2.96,-0.6,-2.36
187,2014-15,Kyle Singler,26,DET/OKC,1.12,-1.31,-0.67,-0.65
188,2014-15,Shelvin Mack,24,ATL,1,-0.5,-0.14,-0.37
189,2014-15,Chandler Parsons,26,DAL,5.72,1.57,1.48,0.08
190,2014-15,Jon Leuer,25,MEM,0.7,-1.01,-1.2,0.19
191,2014-15,Lavoy Allen,25,IND,2.03,0.52,-0.32,0.83
192,2014-15,E'Twaun Moore,25,CHI,0.32,-1.33,-1.11,-0.23
193,2014-15,Isaiah Thomas,25,PHO/BOS,5.1,2.07,3.62,-1.55
194,2014-15,Anthony Davis,21,NOP,12.17,5.15,3.37,1.79
195,2014-15,Michael Kidd-Gilchrist,21,CHO,3.97,1.4,-0.6,2
196,2014-15,Bradley Beal,21,WAS,2.44,-0.56,-0.05,-0.51
197,2014-15,Dion Waiters,23,CLE/OKC,1.19,-1.47,-0.5,-0.96
198,2014-15,Thomas Robinson,23,POR/PHI,0.99,-0.44,-1.08,0.63
199,2014-15,Damian Lillard,24,POR,10.18,2.86,2.92,-0.07
200,2014-15,Terrence Ross,23,TOR,1.06,-1.51,0.3,-1.8
201,2014-15,Andre Drummond,21,DET,6.77,1.7,-0.03,1.73
202,2014-15,Harrison Barnes,22,GSW,4.68,0.69,-0.17,0.86
203,2014-15,Austin Rivers,22,NOP/LAC,-0.18,-2.43,-0.97,-1.46
204,2014-15,Meyers Leonard,22,POR,0.61,-1.2,-1.66,0.46
205,2014-15,Jeremy Lamb,22,OKC,0.7,-0.64,0.43,-1.07
206,2014-15,John Henson,24,MIL,1.95,0.07,-1.45,1.52
207,2014-15,Maurice Harkless,21,ORL,0.7,-0.74,-1.34,0.6
208,2014-15,Tyler Zeller,25,BOS,2.05,-0.52,-0.7,0.18
209,2014-15,Evan Fournier,22,ORL,0.33,-1.96,-0.64,-1.32
210,2014-15,Jared Sullinger,22,BOS,2.13,-0.27,-0.06,-0.2
211,2014-15,Tony Wroten,21,PHI,-0.05,-2.34,-0.28,-2.06
212,2014-15,Miles Plumlee,26,PHO/MIL,1.73,-0.14,-1.95,1.81
213,2014-15,Perry Jones III,23,OKC,-0.35,-3.1,-2.25,-0.85
214,2014-15,Festus Ezeli,25,GSW,0.27,-1.46,-1.79,0.33
215,2014-15,Jae Crowder,24,DAL/BOS,3.72,1.05,1.02,0.03
216,2014-15,Draymond Green,24,GSW,10.3,3.86,0.87,2.99
217,2014-15,Quincy Acy,24,NYK,0.23,-1.99,-2.01,0.02
218,2014-15,Khris Middleton,23,MIL,6.95,2.02,0.74,1.28
219,2014-15,Will Barton,24,POR/DEN,1.14,-0.56,-0.45,-0.11
220,2014-15,Mike Scott,26,ATL,1.43,-0.39,0.53,-0.93
221,2014-15,Justin Hamilton,24,MIA/MIN,0.74,-0.72,-0.78,0.06
222,2014-15,Kostas Papanikolaou,24,HOU,0.07,-2.13,-1.39,-0.73
223,2014-15,Kyle O'Quinn,24,ORL,1.06,-0.38,-1.78,1.4
224,2014-15,Furkan Aldemir,23,PHI,0.5,-0.89,-1.33,0.44
225,2014-15,Robbie Hummel,25,MIN,0.23,-1.8,-1.13,-0.67
226,2014-15,Robert Sacre,25,LAL,0.21,-1.98,-2.56,0.58
227,2014-15,Hollis Thompson,23,PHI,-0.71,-2.86,-2.24,-0.62
228,2014-15,Mirza Teletovic,29,BRK,0.7,-1.1,-0.93,-0.17
229,2014-15,Chris Copeland,30,IND,-0.25,-2.71,-1.63,-1.08
230,2014-15,Pablo Prigioni,37,NYK/HOU,1.84,-0.01,-0.21,0.2
231,2014-15,Alexey Shved,26,PHI/HOU/NYK,1.58,0.76,2.11,-1.35
232,2014-15,Kent Bazemore,25,ATL,0.87,-1.29,-1.76,0.47
233,2014-15,Brian Roberts,29,CHO,0.63,-1.56,-0.44,-1.12
234,2014-15,Henry Sims,24,PHI,-0.72,-3.03,-2.43,-0.6
235,2014-15,Chris Johnson,24,PHI/UTA/MIL,0.4,-1.14,-0.8,-0.34
236,2014-15,Justin Holiday,25,GSW,0.39,-1.38,-0.42,-0.96
237,2014-15,Aron Baynes,28,SAS,1.33,-0.52,-1.15,0.63
238,2014-15,Mike Miller,34,CLE,-0.04,-2.35,-2.2,-0.16
239,2014-15,Nerlens Noel,20,PHI,0.96,-1.65,-3.44,1.8
240,2014-15,Alex Len,21,PHO,1.4,-0.9,-2.65,1.75
241,2014-15,Allen Crabbe,22,POR,0.25,-1.73,-1.89,0.16
242,2014-15,Andre Roberson,23,OKC,2.77,0.89,-1.27,2.16
243,2014-15,Anthony Bennett,21,MIN,0.08,-2.12,-2.19,0.07
244,2014-15,Archie Goodwin,20,PHO,-0.07,-2.46,-1.01,-1.45
245,2014-15,Ben McLemore,21,SAC,0.71,-1.87,-0.7,-1.17
246,2014-15,CJ McCollum,23,POR,0.96,-0.8,-0.89,0.09
247,2014-15,Cody Zeller,22,CHO,3.32,1.01,-0.7,1.71
248,2014-15,Dennis Schröder,21,ATL,1.29,-1,0.26,-1.27
249,2014-15,Dewayne Dedmon,25,ORL,0.96,-0.59,-1.84,1.25
250,2014-15,Gorgui Dieng,25,MIN,2.99,-0.26,-1.65,1.39
251,2014-15,Isaiah Canaan,23,HOU/PHI,0.76,-1.07,0.29,-1.36
252,2014-15,Kelly Olynyk,23,BOS,3.45,1.28,0.21,1.07
253,2014-15,Kentavious Caldwell-Pope,21,DET,4.04,0.03,0.17,-0.14
254,2014-15,Lorenzo Brown,24,MIN,0.67,-0.47,-0.63,0.16
255,2014-15,Mason Plumlee,24,BRK,3.33,0.54,-0.13,0.67
256,2014-15,Michael Carter-Williams,23,PHI/MIL,1.85,-0.99,-0.91,-0.08
257,2014-15,Mike Muscala,23,ATL,0.47,-0.88,-0.66,-0.22
258,2014-15,Otto Porter Jr.,21,WAS,1.24,-0.99,-0.53,-0.46
259,2014-15,Ray McCallum,23,SAC,1.6,-0.62,0.46,-1.08
260,2014-15,Robert Covington,24,PHI,2.98,-0.03,0.46,-0.49
261,2014-15,Rudy Gobert,22,UTA,6.39,2.08,-0.57,2.64
262,2014-15,Shabazz Muhammad,22,MIN,0.78,-0.93,1.05,-1.98
263,2014-15,Shane Larkin,22,NYK,-0.06,-2.3,-1.89,-0.42
264,2014-15,Steven Adams,21,OKC,3.12,0.32,-0.65,0.97
265,2014-15,Tim Hardaway Jr.,22,NYK,-0.02,-2.28,0.01,-2.29
266,2014-15,Tony Snell,23,CHI,0.69,-1.54,-0.62,-0.92
267,2014-15,Trey Burke,22,UTA,1.17,-1.5,0.05,-1.55
268,2014-15,Victor Oladipo,22,ORL,4.97,0.57,0.57,0
269,2014-15,Giannis Antetokounmpo,20,MIL,5.07,0.66,-1.08,1.74
270,2014-15,Sergey Karasev,21,BRK,0.54,-0.82,-0.6,-0.22
271,2014-15,Phil Pressey,23,BOS,1.21,0.7,0.41,0.28
272,2014-15,James Ennis III,24,MIA,0.71,-1.27,-0.65,-0.62
273,2014-15,Matthew Dellavedova,24,CLE,1.2,-0.98,-0.33,-0.65
274,2014-15,Solomon Hill,23,IND,1.7,-1.2,-1.64,0.44
275,2014-15,Ryan Kelly,23,LAL,1.05,-1,-0.8,-0.2
276,2014-15,Pero Antic,32,ATL,1.52,-0.11,-0.32,0.21
277,2014-15,Jamal Crawford,34,LAC,1.86,-0.65,1.68,-2.33
278,2014-15,PJ Hairston,22,CHO,0.6,-0.98,-0.02,-0.96
279,2014-15,Shabazz Napier,23,MIA,0.61,-1.37,-1.16,-0.2
280,2014-15,Zach LaVine,19,MIN,-2.86,-4.56,-2.16,-2.4
281,2014-15,Markel Brown,23,BRK,0.92,-0.54,-1.06,0.53
282,2014-15,Elfrid Payton,20,ORL,4.11,0.16,0.23,-0.07
283,2014-15,Jordan Clarkson,22,LAL,2.36,0.09,0.99,-0.91
284,2014-15,KJ McDaniels,21,PHI/HOU,-0.6,-2.92,-2.4,-0.52
285,2014-15,Jabari Brown,22,LAL,0.04,-2.15,-0.31,-1.84
286,2014-15,Gary Harris,20,DEN,-0.4,-3.09,-2.37,-0.72
287,2014-15,Nik Stauskas,21,SAC,-0.16,-2.47,-1.17,-1.29
288,2014-15,Rodney Hood,22,UTA,1.53,-0.15,-0.23,0.08
289,2014-15,Cleanthony Early,23,NYK,0.11,-2.02,-2.37,0.35
290,2014-15,Jerami Grant,20,PHI,0.08,-2.17,-2.08,-0.1
291,2014-15,Cory Jefferson,24,BRK,0.79,-0.07,-1,0.93
292,2014-15,Aaron Gordon,19,ORL,0.53,-1.27,-1.33,0.06
293,2014-15,T.J. Warren,21,PHO,-0.11,-2.53,-1.22,-1.31
294,2014-15,Marcus Smart,20,BOS,3.98,0.96,0,0.96
295,2014-15,Adreian Payne,23,ATL/MIN,-0.49,-3.26,-2.39,-0.87
296,2014-15,Andrew Wiggins,19,MIN,-0.36,-2.44,-0.83,-1.61
297,2014-15,Jabari Parker,19,MIL,0.47,-1.32,-0.84,-0.49
298,2014-15,Danté Exum,19,UTA,-0.12,-2.36,-1.68,-0.68
299,2014-15,JaKarr Sampson,21,PHI,0.15,-2.06,-1.64,-0.42
300,2014-15,Jusuf Nurkić,20,DEN,2.01,0.41,-1.33,1.74
301,2014-15,Damjan Rudez,28,IND,-0.42,-2.86,-1.55,-1.3
