Season,Team,Returning_Minutes_Pct,Star_Weighted_Continuity,New_Players_Count,Total_Prev_Minutes
2021-22,Los Angeles Lakers,34.02,35.34,15,11669.0
2021-22,Memphis Grizzlies,72.78,72.46,16,11074.0
2021-22,Miami Heat,62.43,64.67,13,10193.0
2021-22,Milwaukee Bucks,84.36,84.78,8,13085.0
2021-22,Minnesota Timberwolves,78.41,78.69,10,9594.0
2021-22,New Orleans Pelicans,30.63,30.43,11,12741.0
2021-22,New York Knicks,77.89,78.51,14,10914.0
2021-22,Oklahoma City Thunder,54.26,54.33,21,4344.0
2021-22,Orlando Magic,39.69,40.12,16,2555.0
2021-22,Philadelphia 76ers,62.62,63.23,9,12604.0
2021-22,Phoenix Suns,100.0,100.0,11,13811.0
2021-22,Portland Trail Blazers,29.74,31.71,13,11024.0
2021-22,Sacramento Kings,50.71,51.63,11,11842.0
2021-22,San Antonio Spurs,51.56,51.51,12,11543.0
2021-22,Toronto Raptors,80.62,80.93,13,9320.0
2021-22,Utah Jazz,92.9,93.23,9,14637.0
2021-22,Washington Wizards,39.79,40.18,13,10150.0
2022-23,Atlanta Hawks,63.39,65.2,10,14509.0
2022-23,Boston Celtics,99.99,99.99,9,13934.0
2022-23,Brooklyn Nets,20.53,19.53,10,8708.0
2022-23,Charlotte Hornets,72.29,71.88,10,16707.0
2022-23,Chicago Bulls,89.7,89.97,9,11791.0
2022-23,Cleveland Cavaliers,74.77,74.7,10,14044.0
2022-23,Dallas Mavericks,62.64,62.77,12,13882.0
2022-23,Denver Nuggets,49.88,52.78,10,13788.0
2022-23,Detroit Pistons,33.23,32.65,14,4971.0
2022-23,Golden State Warriors,72.31,72.73,11,13669.0
2022-23,Houston Rockets,47.4,46.84,10,8534.0
2022-23,Indiana Pacers,67.46,67.34,11,5949.0
2022-23,Los Angeles Clippers,60.36,60.58,9,11341.0
2022-23,Los Angeles Lakers,37.27,40.33,9,9358.0
2022-23,Memphis Grizzlies,77.91,78.5,11,14216.0
2022-23,Miami Heat,85.41,85.78,9,13578.0
2022-23,Milwaukee Bucks,90.58,91.46,11,13332.0
2022-23,Minnesota Timberwolves,59.66,60.18,10,13467.0
2022-23,New Orleans Pelicans,81.19,81.7,9,11720.0
2022-23,New York Knicks,76.13,75.9,7,13684.0
2022-23,Oklahoma City Thunder,78.18,78.34,10,8157.0
2022-23,Orlando Magic,82.51,82.64,10,11404.0
2022-23,Philadelphia 76ers,70.87,72.75,11,11004.0
2022-23,Phoenix Suns,49.45,50.26,8,15117.0
2022-23,Portland Trail Blazers,75.68,76.37,15,5703.0
2022-23,Sacramento Kings,99.87,99.87,12,8310.0
2022-23,San Antonio Spurs,54.23,52.09,14,11025.0
2022-23,Toronto Raptors,99.63,99.65,10,14568.0
2022-23,Utah Jazz,20.75,19.81,15,15322.0
2022-23,Washington Wizards,73.0,73.58,14,10321.0
2023-24,Atlanta Hawks,84.4,85.04,10,13658.0
2023-24,Boston Celtics,64.99,66.34,10,16414.0
2023-24,Brooklyn Nets,43.38,45.6,12,9055.0
2023-24,Charlotte Hornets,30.39,30.61,12,10900.0
2023-24,Chicago Bulls,93.03,93.47,12,13276.0
2023-24,Cleveland Cavaliers,89.79,90.56,11,15261.0
2023-24,Dallas Mavericks,68.83,70.46,13,8718.0
2023-24,Denver Nuggets,82.26,83.58,11,13222.0
2023-24,Detroit Pistons,46.44,46.07,11,7506.0
2023-24,Golden State Warriors,77.39,78.43,13,12488.0
2023-24,Houston Rockets,47.4,47.77,13,10097.0
2023-24,Indiana Pacers,70.47,71.27,11,8963.0
2023-24,Los Angeles Clippers,79.23,79.83,10,11979.0
2023-24,Los Angeles Lakers,53.6,56.74,13,10636.0
2023-24,Memphis Grizzlies,66.25,67.57,17,12601.0
2023-24,Miami Heat,75.54,76.86,12,12431.0
2023-24,Milwaukee Bucks,55.22,56.46,11,13321.0
2023-24,Minnesota Timberwolves,100.0,100.0,8,11910.0
2023-24,New Orleans Pelicans,100.0,100.0,11,14201.0
2023-24,New York Knicks,62.25,63.21,8,14608.0
2023-24,Oklahoma City Thunder,100.0,100.0,7,13377.0
2023-24,Orlando Magic,88.24,88.63,11,12797.0
2023-24,Philadelphia 76ers,81.06,80.19,10,11894.0
2023-24,Phoenix Suns,26.81,27.53,11,11878.0
2023-24,Portland Trail Blazers,44.46,42.79,16,9935.0
2023-24,Sacramento Kings,95.71,95.97,12,16073.0
2023-24,San Antonio Spurs,79.79,79.9,11,9503.0
2023-24,Toronto Raptors,43.56,42.33,13,14840.0
2023-24,Utah Jazz,71.63,72.61,10,8249.0
2023-24,Washington Wizards,0.0,0.0,16,9520.0
2024-25,Atlanta Hawks,49.81,50.01,9,14438.0
2024-25,Boston Celtics,100.0,100.0,8,16628.0
2024-25,Brooklyn Nets,62.37,62.45,11,11353.0
2024-25,Charlotte Hornets,44.3,45.87,17,2752.0
2024-25,Chicago Bulls,45.2,44.33,14,13654.0
2024-25,Cleveland Cavaliers,86.2,86.52,8,14191.0
2024-25,Dallas Mavericks,55.72,53.27,10,10021.0
2024-25,Denver Nuggets,79.7,81.48,12,12367.0
2024-25,Detroit Pistons,87.04,87.37,14,6243.0
2024-25,Golden State Warriors,62.54,63.44,12,13117.0
2024-25,Houston Rockets,99.4,99.43,10,12578.0
2024-25,Indiana Pacers,90.26,90.55,13,11176.0
2024-25,Los Angeles Clippers,64.29,64.92,8,13353.0
2024-25,Los Angeles Lakers,53.06,52.27,10,13115.0
2024-25,Memphis Grizzlies,100.0,100.0,9,8773.0
2024-25,Miami Heat,84.38,83.22,9,13069.0
2024-25,Milwaukee Bucks,75.61,77.15,9,15679.0
2024-25,Minnesota Timberwolves,68.34,69.39,13,14006.0
2024-25,New Orleans Pelicans,69.96,70.47,12,14979.0
2024-25,New York Knicks,55.97,56.27,13,13453.0
2024-25,Oklahoma City Thunder,85.9,86.58,11,14263.0
2024-25,Orlando Magic,100.0,100.0,9,13670.0
2024-25,Philadelphia 76ers,51.08,52.23,16,11726.0
2024-25,Phoenix Suns,70.36,71.31,10,14194.0
2024-25,Portland Trail Blazers,81.25,81.06,12,7663.0
2024-25,Sacramento Kings,54.28,55.22,12,15412.0
2024-25,San Antonio Spurs,74.99,75.54,10,8706.0
2024-25,Toronto Raptors,87.29,88.0,12,4759.0
2024-25,Utah Jazz,76.24,77.13,11,9804.0
2024-25,Washington Wizards,6.82,6.68,11,5691.0
2025-26,Atlanta Hawks,86.32,86.9,10,11983.0
2025-26,Boston Celtics,61.11,62.72,11,15753.0
2025-26,Brooklyn Nets,67.49,67.04,12,7573.0
2025-26,Charlotte Hornets,68.15,68.17,12,7712.0
2025-26,Chicago Bulls,63.74,63.44,14,8713.0
2025-26,Cleveland Cavaliers,90.28,90.47,7,14314.0
2025-26,Dallas Mavericks,75.67,75.84,11,12205.0
2025-26,Denver Nuggets,50.77,48.82,10,16143.0
2025-26,Detroit Pistons,81.37,81.73,10,12278.0
2025-26,Golden State Warriors,83.45,83.85,10,12499.0
2025-26,Houston Rockets,46.18,47.08,12,14185.0
2025-26,Indiana Pacers,83.43,83.48,12,13140.0
2025-26,Los Angeles Clippers,72.33,73.56,8,13846.0
2025-26,Los Angeles Lakers,95.03,95.33,9,10916.0
2025-26,Memphis Grizzlies,45.88,45.15,9,12645.0
2025-26,Miami Heat,67.97,69.57,8,10574.0
2025-26,Milwaukee Bucks,47.47,48.27,11,12666.0
2025-26,Minnesota Timberwolves,88.31,88.95,9,17734.0
2025-26,New Orleans Pelicans,41.47,41.89,13,7800.0
2025-26,New York Knicks,93.37,93.73,8,16430.0
2025-26,Oklahoma City Thunder,100.0,100.0,10,12747.0
2025-26,Orlando Magic,71.99,72.9,8,10683.0
2025-26,Philadelphia 76ers,82.56,82.99,11,6393.0
2025-26,Phoenix Suns,47.14,47.19,13,14078.0
2025-26,Portland Trail Blazers,56.08,56.72,13,11314.0
2025-26,Sacramento Kings,89.36,89.77,12,13215.0
2025-26,San Antonio Spurs,72.75,72.41,10,12291.0
2025-26,Toronto Raptors,65.45,65.92,12,8329.0
2025-26,Utah Jazz,70.47,70.71,11,7388.0
2025-26,Washington Wizards,40.19,40.12,14,5598.0
