PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FTFreq%","TOVFreq%","SFFreq%","And OneFreq%","ScoreFreq%",Percentile
Stephen Curry,GSW,74,7.7,32.1,0.91,7.1,2.4,6.1,39.3,49.1,7.9,14.5,7.2,1,37.8,65.5
Chris Paul,GSW,58,4,41.5,0.93,3.8,1.6,3.5,46.8,50.5,3.8,11.1,3.4,0.9,43.2,70.4
Andrew Wiggins,GSW,71,1.8,13.4,0.91,1.6,0.6,1.5,41.9,45.2,10.9,8.6,10.9,1.6,43.8,65.1
Klay Thompson,GSW,77,1.5,9,0.94,1.4,0.6,1.2,47.3,54.8,3.4,17.1,2.6,0,41,72.3
Jonathan Kuminga,GSW,74,1.3,8.9,0.93,1.2,0.5,1,47.4,50,14.1,12.1,14.1,3,46.5,69.4
Brandin Podziemski,GSW,74,1.2,12.6,0.87,1.1,0.4,1,44,48.7,5.6,13.3,4.4,2.2,38.9,54.1
Draymond Green,GSW,55,0.4,4.3,0.87,0.4,0.1,0.3,42.1,42.1,13,8.7,13,4.3,43.5,55.4
Moses Moody,GSW,66,0.3,4.2,0.86,0.3,0.1,0.2,46.2,50,14.3,23.8,14.3,0,42.9,51.1
Cory Joseph,GSW,26,0.5,15.2,0.42,0.2,0.1,0.3,22.2,22.2,8.3,16.7,8.3,0,25,2.9
Jalen Green,HOU,82,8,39.3,0.9,7.2,2.5,6.3,40.4,47.9,10.5,13.7,8.4,2.4,39,61.9
Fred VanVleet,HOU,73,7.4,43.6,0.99,7.3,2.6,6,43.8,53.8,6.9,12.7,5.8,1.1,41.5,82.7
Aaron Holiday,HOU,78,1.9,29.6,1.03,1.9,0.8,1.6,51.2,56.1,4.1,11.6,3.4,0,47.3,88.9
Dillon Brooks,HOU,72,1.1,8.3,1.09,1.2,0.4,0.8,44.8,50.9,16.9,9.1,14.3,1.3,49.4,95.1
Amen Thompson,HOU,62,1.2,12.8,0.79,1,0.4,1,42.4,42.4,13,15.6,11.7,5.2,40.3,35.5
Cam Whitmore,HOU,47,1.3,10.4,0.92,1.1,0.5,1.1,43.1,46.1,10.2,6.8,10.2,3.4,44.1,66.1
Jabari Smith Jr.,HOU,76,0.4,3.4,0.73,0.3,0.1,0.4,30,35,5.9,5.9,2.9,0,32.4,25.7
Jeff Green,HOU,78,0.1,2.3,1.46,0.2,0.1,0.1,57.1,71.4,27.3,9.1,27.3,0,63.6,99.3
Alperen Sengun,HOU,63,0.3,1.2,0.75,0.2,0.1,0.2,33.3,33.3,18.8,12.5,6.3,6.3,37.5,28.3
Tyrese Haliburton,IND,68,8.1,43.4,1.05,8.5,3.2,6.6,48.3,57.3,8.4,13,7.1,2.9,44.9,91.2
T.J. McConnell,IND,70,5.4,52.7,1.07,5.8,2.7,4.7,56.4,57.1,5.5,9.7,5.3,2.1,52.4,93.2
