PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Scoot Henderson,POR,62,18,44,28.5,5,2.1,5.5,37.9,0.8,2.3,33.3,44.8
Scottie Barnes,TOR,60,22,38,34.9,2.1,1,3.1,31.7,0.2,1.1,17.5,34.7
Scotty Pippen Jr.,MEM,21,5,16,25.1,2.3,1,2.5,38.5,0.4,1,38.1,46.2
Seth Curry,CHA,44,25,19,14,1.2,0.5,1.8,31.2,0.1,0.4,26.3,34.4
Seth Lundy,ATL,9,2,7,5.8,0.2,0.1,0.1,100,0,0,-,100
Shaedon Sharpe,POR,32,8,24,33.1,5,2,5.8,34.2,1,3.4,29.6,42.8
Shai Gilgeous-Alexander,OKC,75,55,20,34,10.4,4.7,10,47.6,0.9,2.6,35.6,52.2
Shake Milton,NYK,48,32,16,12.1,1.1,0.5,1.4,38.5,0.1,0.4,23.5,41.5
Shaquille Harrison,MEM,3,1,2,2,0,0,0,-,-,-,-,-
Sidy Cissoko,SAS,12,5,7,11.7,0,0,0.1,0,0,0,-,0
Skylar Mays,LAL,38,14,24,11.4,1.2,0.6,1.3,42,0.1,0.3,30.8,46
Spencer Dinwiddie,LAL,76,38,38,28.3,1.9,0.7,2.5,29.8,0.4,1.7,26,38.8
Stanley Umude,DET,24,4,20,12.8,0.3,0.1,0.5,27.3,0,0.1,50,31.8
Stephen Curry,GSW,74,43,31,32.7,9,3.4,8.9,38,2.3,6.1,37.3,50.7
Svi Mykhailiuk,BOS,41,32,9,10.1,1,0.4,0.9,41.7,0.3,0.7,48.1,59.7
T.J. McConnell,IND,71,40,31,18.2,2.4,1.2,2.4,48,0.1,0.2,42.9,49.7
Talen Horton-Tucker,UTA,51,14,37,19.8,1.8,0.7,2.6,26.1,0.4,1.4,28.2,33.6
Taze Moore,POR,4,1,3,10.1,0,0,0,-,0,0,-,-
Terance Mann,LAC,75,47,28,25,1,0.4,1.1,41.3,0.2,0.5,35.3,48.8
Terquavion Smith,PHI,16,8,8,5.3,0.4,0.1,0.8,16.7,0.1,0.6,22.2,25
Terry Rozier,MIA,61,22,39,33.4,7.4,3,7.3,41.2,1.4,3.8,37.6,50.8
Theo Maledon,PHX,17,5,12,12.5,0.4,0.2,0.9,18.8,0.1,0.5,12.5,21.9
Tim Hardaway Jr.,DAL,79,49,30,26.8,4.2,1.7,4.4,38.3,0.8,2.2,34.5,47
Trae Young,ATL,54,22,32,36,10.9,4.2,10.4,40.4,2.4,6.5,37.3,52
Tre Jones,SAS,77,21,56,27.8,1.2,0.6,1.7,32.3,0.1,0.5,23.8,36.1
Tre Mann,CHA,41,21,20,24.1,2.5,1,2.8,35.3,0.5,1.5,33.9,44.4
Trent Forrest,ATL,38,18,20,10.9,0.3,0.1,0.5,27.8,0,0.1,0,27.8
Trevelin Queen,ORL,14,5,9,11.8,0.4,0.1,0.8,18.2,0.1,0.6,12.5,22.7
Troy Brown Jr.,DET,59,30,29,14,0.7,0.3,0.8,35.4,0.1,0.4,28.6,41.7
Ty Jerome,CLE,2,1,1,7.4,0,0,0,-,0,0,-,-
TyTy Washington Jr.,MIL,11,5,6,5.1,0.4,0.2,1,18.2,0,0.1,0,18.2
Tyler Herro,MIA,42,23,19,33.5,8.1,3.4,7.9,42.7,1.4,3.7,37,51.4
Tyrese Haliburton,IND,69,40,29,32.2,8.8,3.4,8.4,40.4,2,5.8,34.6,52.3
Tyrese Maxey,PHI,70,43,27,37.5,7.4,2.9,8.3,34.6,1.6,4.9,32.8,44.3
Tyus Jones,WAS,66,11,55,29.3,3.7,1.7,3.7,44.9,0.4,1.1,38.7,50.8
Vasilije Micic,CHA,60,34,26,19.6,2,0.8,2.4,32.9,0.4,1.4,27.7,40.8
Vince Williams Jr.,MEM,52,18,34,27.6,1,0.4,1.1,35.7,0.2,0.7,34.3,46.4
Vít Krejčí,ATL,22,9,13,24.6,0.9,0.4,1,34.8,0.2,0.7,26.7,43.5
Wendell Moore Jr.,MIN,25,18,7,3,0.1,0,0.2,20,0,0.1,0,20
Wesley Matthews,ATL,36,11,25,11.5,0.4,0.1,0.6,22.7,0.1,0.4,31.3,34.1
Xavier Moon,LAC,14,7,7,8.5,1.9,0.9,1.6,52.2,0.1,0.4,33.3,56.5
Yuta Watanabe,MEM,34,18,16,13.7,0.2,0.1,0.4,23.1,0,0.1,0,23.1
Zach LaVine,CHI,25,10,15,34.9,7.2,2.8,6.9,40.5,1.6,4.3,36.4,51.7
Zavier Simpson,MEM,7,1,6,23.1,1,0.4,2.1,20,0.1,0.7,20,23.3
Tim Frazier,CLE,12,1,11,17.3,1.1,0.4,1.8,23.8,0.3,0.6,42.9,31
Tim Hardaway Jr.,DAL,42,24,18,29.6,4.4,1.9,5.1,36.4,0.7,2.2,31.9,43.2
Timothe Luwawu-Cabarrot,ATL,52,30,22,13.2,0.4,0.2,0.3,50,0.1,0.2,62.5,65.6
Tomas Satoransky,WAS,55,21,34,16.5,0.7,0.3,1,29.8,0,0.2,22.2,31.6
Tony Snell,NOP,53,19,34,15.5,0.3,0.1,0.3,38.9,0,0.1,28.6,44.4
Trae Young,ATL,76,40,36,34.9,12.7,5.1,12,42.4,2.6,6.9,37,53
Trayvon Palmer,DET,1,0,1,16.8,0,0,0,-,-,-,-,-
Tre Jones,SAS,69,32,37,16.6,1.4,0.7,1.5,44.8,0,0.2,13.3,45.7
Tre Mann,OKC,60,17,43,22.8,4.3,1.7,4.5,38.1,0.9,2.5,34.2,47.8
Tremont Waters,WAS,3,0,3,16.8,1.7,0.7,3.3,20,0.3,2.7,12.5,25
Trent Forrest,UTA,60,36,24,12.8,0.3,0.1,0.3,38.9,0,0.1,20,41.7
Trevelin Queen,HOU,10,1,9,7.4,1.5,0.5,1.1,45.5,0.5,1.1,45.5,68.2
Trey Burke,DAL,42,24,18,10.5,1.8,0.8,2.5,33.7,0.2,0.6,25.9,37
Troy Brown Jr.,CHI,66,37,29,16,0.3,0.1,0.4,29.6,0,0.1,25,33.3
Ty Jerome,OKC,48,15,33,16.7,1.7,0.7,2.1,35.4,0.3,1,24.5,41.4
Tyler Hall,NYK,1,1,0,1.9,0,0,0,-,-,-,-,-
Tyler Herro,MIA,66,44,22,32.6,7.5,3.1,8.2,38.4,1.3,3.4,37.5,46.2
Tyler Johnson,SAS,6,2,4,15.2,0.3,0.2,1,16.7,0,0.2,0,16.7
Tyrell Terry,MEM,2,2,0,1.5,1,0.5,0.5,100,-,-,-,100
Tyrese Haliburton,IND,77,26,51,35,6.8,2.8,6.4,43.4,1.2,3.1,40.4,53
Tyrese Maxey,PHI,75,45,30,35.3,5,2.1,5.2,40.2,0.8,1.9,40.3,47.6
Tyrone Wallace,NOP,6,4,2,12.5,0,0,0.5,0,0,0.2,0,0
Tyus Jones,MEM,73,51,22,21.2,3,1.4,3.4,40.8,0.2,0.6,30.4,43.6
Victor Oladipo,MIA,8,4,4,21.6,4.1,1.6,3.8,43.3,0.9,2,43.8,55
Vít Krejčí,OKC,30,8,22,23,0.8,0.3,0.9,33.3,0.2,0.6,35.3,44.4
Wayne Ellington,LAL,43,15,28,18.8,1.2,0.4,1.4,29.5,0.3,1.2,29.4,41.8
Wayne Selden,NYK,3,2,1,6.4,1,0.3,0.3,100,0.3,0.3,100,150
Wesley Matthews,MIL,49,33,16,20.5,0.2,0.1,0.5,17.4,0,0.4,11.1,21.7
Will Barton,DEN,71,41,30,32.1,3.8,1.5,4,37.7,0.8,2.3,33.8,47.2
Xavier Moon,LAC,10,7,3,13.7,3.6,1.7,2.8,60.7,0.2,0.5,40,64.3
Yuta Watanabe,TOR,38,21,17,11.7,0.3,0.1,0.4,29.4,0,0.1,0,29.4
Zach LaVine,CHI,67,37,30,34.7,7.6,3.1,8.5,36.6,1.4,4.3,33.3,45.1
Zavier Simpson,OKC,4,1,3,43.5,2,1,3,33.3,0,0.8,0,33.3
